,name,f1 score,accuracy
0,SVM,0.7696912413358538,73.8321102559513
1,Naive Bayes,0.8547244774572466,84.94719885448362
2,Decision tree,0.6756756756756758,69.07105781277967
3,Random Forest,0.8372619272110127,84.55342759978521
